id,race_id,event_id,count_date,registered_count,completed_count,active_count,incomplete_count,registered_male_count,registered_female_count,registered_non_binary_count,registered_unspecified_count,group_count,donations_count,donations_total,credentials_used,timing_partner_id
827,177140,947217,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
828,177140,947218,"2025-06-03 17:41:12",1,0,1,0,0,0,0,1,0,0,0.00,yHvMFx1y...,6
829,177140,947219,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
830,177140,947220,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
831,177140,947221,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
832,177140,947222,"2025-06-03 17:41:12",2,0,2,0,0,0,0,2,0,0,0.00,yHvMFx1y...,6
833,177140,947223,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
834,177140,947224,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
835,177166,947678,"2025-06-03 17:41:12",1,0,1,0,0,0,0,1,0,0,0.00,OiX84NDS...,12
836,177166,947679,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,OiX84NDS...,12
837,177392,949565,"2025-06-03 17:41:12",111,0,111,0,0,0,0,111,0,0,0.00,OiX84NDS...,12
838,177392,949566,"2025-06-03 17:41:12",81,0,81,0,0,0,0,81,0,0,0.00,OiX84NDS...,12
839,177392,949567,"2025-06-03 17:41:12",175,0,175,0,0,0,0,175,0,0,0.00,OiX84NDS...,12
840,177392,949568,"2025-06-03 17:41:12",30,0,30,0,0,0,0,30,0,0,0.00,OiX84NDS...,12
841,177559,951250,"2025-06-03 17:41:12",24,0,24,0,0,0,0,24,0,0,0.00,voNeS2VZ...,11
842,177559,951251,"2025-06-03 17:41:12",3,0,3,0,0,0,0,3,0,0,0.00,voNeS2VZ...,11
843,177559,951252,"2025-06-03 17:41:12",4,0,4,0,0,0,0,4,0,0,0.00,voNeS2VZ...,11
844,177708,952816,"2025-06-03 17:41:12",108,0,108,0,0,0,0,108,0,0,0.00,KMVON3kq...,1
845,177708,952817,"2025-06-03 17:41:12",99,0,99,0,0,0,0,99,0,0,0.00,KMVON3kq...,1
846,177708,952818,"2025-06-03 17:41:12",10,0,10,0,0,0,0,10,0,0,0.00,KMVON3kq...,1
847,179140,965039,"2025-06-03 17:41:12",1,0,1,0,0,0,0,1,0,0,0.00,KMVON3kq...,1
848,179140,965040,"2025-06-03 17:41:12",6,0,6,0,0,0,0,6,0,0,0.00,KMVON3kq...,1
849,179140,965041,"2025-06-03 17:41:12",5,0,5,0,0,0,0,5,0,0,0.00,KMVON3kq...,1
850,179240,965898,"2025-06-03 17:41:12",1,0,1,0,0,0,0,1,0,0,0.00,voNeS2VZ...,11
851,179240,965899,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
852,179240,965900,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
853,179240,965901,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
854,179240,965902,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
855,179651,969081,"2025-06-03 17:41:12",339,0,339,0,0,0,0,339,0,0,0.00,OiX84NDS...,12
856,179651,969082,"2025-06-03 17:41:12",130,0,130,0,0,0,0,130,0,0,0.00,OiX84NDS...,12
857,179651,969083,"2025-06-03 17:41:12",61,0,61,0,0,0,0,61,0,0,0.00,OiX84NDS...,12
858,179651,969084,"2025-06-03 17:41:12",34,0,34,0,0,0,0,34,0,0,0.00,OiX84NDS...,12
859,179651,969085,"2025-06-03 17:41:12",74,0,74,0,0,0,0,74,0,0,0.00,OiX84NDS...,12
860,179651,969086,"2025-06-03 17:41:12",45,0,45,0,0,0,0,45,0,0,0.00,OiX84NDS...,12
861,179651,1006848,"2025-06-03 17:41:12",48,0,48,0,0,0,0,48,0,0,0.00,OiX84NDS...,12
862,179750,969848,"2025-06-03 17:41:12",7,0,7,0,0,0,0,7,0,0,0.00,voNeS2VZ...,11
863,179750,969849,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
864,179750,980383,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
865,179750,1006664,"2025-06-03 17:41:12",2,0,2,0,0,0,0,2,0,0,0.00,voNeS2VZ...,11
866,179923,971200,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,KMVON3kq...,1
867,180428,975281,"2025-06-03 17:41:12",2,0,2,0,0,0,0,2,0,0,0.00,voNeS2VZ...,11
868,180452,975508,"2025-06-03 17:41:12",74,0,74,0,0,0,0,74,0,0,0.00,KMVON3kq...,1
869,180879,978266,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
870,180879,978267,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
871,180893,978362,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
872,180893,978363,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
873,180893,978364,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
874,180893,978365,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
875,180893,978366,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
876,180893,978367,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
877,180893,978368,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
878,180893,978369,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,voNeS2VZ...,11
879,180951,978819,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,OiX84NDS...,12
880,180951,978820,"2025-06-03 17:41:12",3,0,3,0,0,0,0,3,0,0,0.00,OiX84NDS...,12
881,180951,978821,"2025-06-03 17:41:12",15,0,15,0,0,0,0,15,0,0,0.00,OiX84NDS...,12
882,180951,978822,"2025-06-03 17:41:12",7,0,7,0,0,0,0,7,0,0,0.00,OiX84NDS...,12
883,182275,987631,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
884,182275,987632,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
885,182275,987633,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
886,182275,987634,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
887,182275,987635,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
888,182275,987636,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
889,182275,987637,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
890,182275,987638,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,alwfRlvl...,3
